person_id,name,given_names,family_names,group,candidate_list,constituency,dim1,dim2,dim3,weight,included
nrsr:person:1200,Boleslav Lešo,Boleslav,Lešo,Klub SMER - sociálna demokracia,,,-0.8578248451841832,0.0157572022840845,0.00053155329222446,0.9985661319158639,True
nrsr:person:1201,Samuel Migaľ,Samuel,Migaľ,Klub HLAS - sociálna demokracia,,,-0.7475688982281355,-0.4945962567044506,0.047767061001808345,0.4445591005627483,True
nrsr:person:1202,Ján Hrubý,Ján,Hrubý,Klub HLAS - sociálna demokracia,,,-0.8417297548775308,0.5058645654679351,-0.07089621067956486,0.5506173432044253,True
nrsr:person:1203,Miroslav Čellár,Miroslav,Čellár,Klub HLAS - sociálna demokracia,,,-0.8517466604951702,0.014470987052355798,0.008802867858644618,0.9920927274690731,True
nrsr:person:1204,Jaroslav Mego,Jaroslav,Mego,Klub SMER - sociálna demokracia,,,-0.8575652715882199,0.01325574811918288,0.0013436181241414688,0.9965863140591066,True
nrsr:person:1205,Michal Kapuš,Michal,Kapuš,Klub SMER - sociálna demokracia,,,-0.8578967934378173,0.016882413890627612,0.0033301686759970054,0.9929506485403345,True
nrsr:person:1206,Peter Sokol,Peter,Sokol,Klub SMER - sociálna demokracia,,,-0.8660016393536459,0.008175415025772575,-0.02019290376066172,0.9073025281674086,True
nrsr:person:1207,Michal Bartek,Michal,Bartek,Klub HLAS - sociálna demokracia,,,-0.8556331002521462,0.014911843786732087,0.001412799981325008,0.9894109741903747,True
nrsr:person:1208,Paula Puškárová,Paula,Puškárová,Klub HLAS - sociálna demokracia,,,-0.8532401239201652,0.011462644836993741,0.006312169153318896,0.9873291657167543,True
nrsr:person:1210,Dagmar Kramplová,Dagmar,Kramplová,Klub Slovenská národná strana,,,-0.8504347354098649,0.008565881928924721,0.0026741690391728573,0.9976302180199422,True
nrsr:person:1211,Zdenka Mačicová,Zdenka,Mačicová,Klub HLAS - sociálna demokracia,,,-0.8561144487152421,0.02040608359769292,0.005534057092812999,0.9832435415941734,True
nrsr:person:1212,Natália Nash,Natália,Nash,Klub Progresívne Slovensko,,,1.085886751627113,-0.03183008266992442,0.3063157894628186,0.9404794758882183,True
nrsr:person:1213,Richard Dubovický,Richard,Dubovický,Klub Progresívne Slovensko,,,1.0694724432395697,-0.23377546296679258,0.2945214603322715,0.8286377653255902,True
nrsr:person:1214,Richard Glück,Richard,Glück,Klub SMER - sociálna demokracia,,,-0.8407375466786248,0.21327565676765237,-0.023293745965622423,0.9471448626726343,True
nrsr:person:1216,Dávid Demečko,Dávid,Demečko,Klub HLAS - sociálna demokracia,,,-0.847090168869204,0.27150762049405974,-0.0846771940189397,0.8576930922355144,True
nrsr:person:1217,Andrea Szabóová,Andrea,Szabóová,Klub HLAS - sociálna demokracia,,,-0.8460079974248137,0.271954453708467,-0.08216160012021573,0.8568291717162022,True
nrsr:person:1218,Jozef Kačmár,Jozef,Kačmár,Klub SMER - sociálna demokracia,,,-0.8490423832897456,0.33514514460668415,-0.07302996343798386,0.737866116317299,True
nrsr:person:1219,Ján Horváth,Ján,Horváth,Klub SMER - sociálna demokracia,,,-0.8485109161746496,0.3372746296544827,-0.07563134679534414,0.7456054043028042,True
nrsr:person:1220,Miroslav Radačovský,Miroslav,Radačovský,Nezávislí,,,-0.7785495994913608,0.4381974788441086,-0.07044536195937408,0.5370765889538163,True
nrsr:person:1221,Igor Dušenka,Igor,Dušenka,Klub SLOVENSKO - ZA ĽUDÍ,,,1.0641537317929306,-0.7676483629233254,-0.10229848523294556,0.35745311431348326,True
nrsr:person:1222,Gréta Gregorová,Gréta,Gregorová,Klub Progresívne Slovensko,,,1.047012050253388,-0.7400566276395796,0.10046887541455796,0.3146650508153251,True
