id,name,photo,candidate_list,group,constituency,govity,govity_percent,govity_total,govity_possible
nrsr:person:1174,Michal Moško,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1174&ImageWidth=140,,Klub HLAS - sociálna demokracia,,1.0,100.0,818,818
nrsr:person:974,Martin Nemky,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=974&ImageWidth=140,,Klub SMER - sociálna demokracia,,1.0,100.0,258,258
nrsr:person:1138,Martin Pekár,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1138&ImageWidth=140,,Klub Progresívne Slovensko,,0.545455,54.5,6,11
nrsr:person:682,Peter Pellegrini,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=682&ImageWidth=140,,Klub HLAS - sociálna demokracia,,0.99875,99.9,799,800
nrsr:person:941,Denisa Saková,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=941&ImageWidth=140,,,,,,0,0
nrsr:person:1162,Jozef Smatana,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1162&ImageWidth=140,,,,,,0,0
nrsr:person:877,Boris Susko,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=877&ImageWidth=140,,,,,,0,0
nrsr:person:1171,Kamil Šaško,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1171&ImageWidth=140,,,,,,0,0
nrsr:person:918,Martina Šimkovičová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=918&ImageWidth=140,,,,,,0,0
nrsr:person:1069,Matúš Eštok,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1069&ImageWidth=140,,,,,,0,0
nrsr:person:1071,Richard Takáč,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1071&ImageWidth=140,,,,,,0,0
nrsr:person:1072,Tomáš Taraba,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1072&ImageWidth=140,,,,,,0,0
nrsr:person:940,Erik Tomáš,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=940&ImageWidth=140,,,,,,0,0
